event_id,match_id,event_minute,event_type,event_comment
22,39bd6d92,45',Attempt Saved,Attempt blocked. Telasco Segovia's (Inter Miami CF) with right footed shot from the center of the box with an xG of 8% is blocked by Aiden O'Neill.
21,39bd6d92,44',Attempt Missed,Attempt missed. Lionel Messi's (Inter Miami CF) with right footed shot from the center of the box with an xG of 12% misses to the left.
20,39bd6d92,43',Foul,"Gonzalo Luján (Inter Miami CF) wins a free kick, after being fouled by Nicolás Fernández (New York City Football Club)."
19,39bd6d92,42',Attempt Saved,Attempt saved. Mateo Silvetti's (Inter Miami CF) with left footed shot from the center of the box is saved by Matt Freese.
18,39bd6d92,42',Post,Lionel Messi (Inter Miami CF) hits the cross bar from the central position outside the box with an xG of 3%.
17,39bd6d92,41',Attempt Saved,Attempt blocked. Lionel Messi's (Inter Miami CF) with left footed shot from the central position outside the box with an xG of 4% is blocked by Aiden O'Neill.
16,39bd6d92,41',Foul,"Micael dos Santos (Inter Miami CF) wins a free kick, after being fouled by Nicolás Fernández (New York City Football Club)."
15,39bd6d92,40',Foul,"Aiden O'Neill (New York City Football Club) wins a free kick, after being fouled by Micael dos Santos (Inter Miami CF)."
14,39bd6d92,38',Yellow Card,Gonzalo Luján (Inter Miami CF) is shown the yellow card
13,39bd6d92,38',Foul,"Nicolás Fernández (New York City Football Club) wins a free kick, after being fouled by Gonzalo Luján (Inter Miami CF)."
12,39bd6d92,36',Attempt Saved,Attempt saved. Lionel Messi's (Inter Miami CF) with left footed shot from the center of the box with an xG of 3% is saved by Matt Freese.
11,39bd6d92,34',Attempt Saved,Attempt saved. Maxi Moralez's (New York City Football Club) with right footed shot from the center of the box with an xG of 13% is saved by Dayne St. Clair.
10,39bd6d92,32',Corner,"Corner from the right, (Inter Miami CF). Executed by Lionel Messi."
9,39bd6d92,31',Post,Lionel Messi (Inter Miami CF) hits the left post from the right half-space outside the box with an xG of 2%.
8,39bd6d92,30',Corner,"Corner from the left, (New York City Football Club). Executed by Maxi Moralez."
7,39bd6d92,30',Attempt Saved,Attempt blocked. Nicolás Fernández's (New York City Football Club) with left footed shot from the left side of the box with an xG of 5% is blocked by Ian Fray.
6,39bd6d92,29',Foul,"Tayvon Gray (New York City Football Club) wins a free kick, after being fouled by Telasco Segovia (Inter Miami CF)."
5,39bd6d92,27',Attempt Missed,Attempt missed. Micael dos Santos's (Inter Miami CF) with left footed shot from the central position outside the box with an xG of 2% misses to the right.
4,39bd6d92,26',Attempt Saved,Attempt blocked. Mateo Silvetti's (Inter Miami CF) with header from the center of the box with an xG of 12% is blocked by Kai Trewin.
3,39bd6d92,26',Corner,"Corner from the left, (Inter Miami CF). Executed by Telasco Segovia."
2,39bd6d92,25',Attempt Saved,Attempt blocked. Telasco Segovia's (Inter Miami CF) with right footed shot from the center of the box with an xG of 35% is blocked by Kai Trewin.
1,39bd6d92,23',Foul,"Ian Fray (Inter Miami CF) wins a free kick, after being fouled by Hannes Wolf (New York City Football Club)."
89,9726ffc7,90'+13,Attempt Missed,Attempt missed. Daniel Ríos's (CF Montréal) with header from the center of the box with an xG of 7% goes over.
